STT,Ma so thue,Ten cong ty,Ngay cuoi,Note,,,,,,
447,0315700238,CÔNG TY TNHH VẬN TẢI VÀ ĐẦU TƯ CHIẾN THẮNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
448,0315701129,CÔNG TY TNHH  DỊCH VỤ NHÀ HÀNG BIỂN ĐÔNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
449,0315701150,CÔNG TY CỔ PHẦN XNK VẬN TẢI VÀ KINH DOANH NHIÊN LIỆU PETRO VN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
450,0315706984,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT THIẾT BỊ ĐIỆN LỬA VIỆT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
451,0315721083,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỜI TRANG AN GIA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
452,0315723323,CÔNG TY TNHH SAO HANA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
453,0315723813,CÔNG TY TNHH TMDV LÂM SẢN NHẤT TÍN TÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
454,0315732529,CÔNG TY TNHH KIM NHẬT VIỆT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
455,0315734163,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI DỊCH VỤ XINH LONG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
456,0315735110,CÔNG TY TNHH THIẾT BỊ BHLD VÀ PCCC ĐỒNG TÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
457,0315739972,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ BẤT ĐỘNG SẢN TP,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
458,0315750510,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Ô TÔ BAVICO HÓC MÔN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
459,0315754096,CÔNG TY TNHH TM DV NHÀ HÀNG FOOD HOUSE,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
460,0315761897,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN ẨM THỰC SÀI GÒN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
461,0315767842,CÔNG TY TNHH KINH DOANH DỊCH VỤ VẬN TẢI HẢI HÙNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
462,0315772754,CÔNG TY TNHH KHÁCH SẠN NHÀ HÀNG THUYỀN BUỒM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
463,0315775603,CÔNG TY TNHH DỊCH VỤ VẬN TẢI MINH KHA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
464,0315783040,CÔNG TY TRÁCH NHIỆM HỮU HẠN SỰ KIỆN LỬNG MẬT SÀI GÒN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
465,0315785256,CÔNG TY TNHH KINH DOANH GỖ VÀ TRANG TRÍ NỘI THẤT VIỆT HÙNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
466,0315792609,CÔNG TY TNHH SUẤT ĂN CÔNG NGHIỆP AN THÀNH PHÁT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
467,0315798248,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT MAY MẶC HƯƠNG LAN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
468,0315816169,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DỆT MAY DIỆP NHI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
469,0315826777,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC PHÚ QUỐC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
470,0315827636,CÔNG TY TNHH KINH DOANH THIẾT BỊ Y TẾ KIẾN VIỆT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
471,0315831897,CÔNG TY TNHH TM-DV TÍN VIỆT FOOD,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
472,0315833069,CÔNG TY TNHH SUPE PHỐT PHÁT VÀ HÓA CHẤT MIỀN NAM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
473,0315834418,CÔNG TY TNHH XD DV THIẾT KẾ VÀ CÂY CẢNH NOVA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
474,0315838814,CÔNG TY TNHH DỊCH VỤ SỬA CHỮA VÀ MUA BÁN PHỤ TÙNG Ô TÔ TÍN PHÁT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
475,0315850829,CÔNG TY TNHH THỜI TRANG CAO THẮNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
476,0315851452,CÔNG TY TNHH QUẢNG CÁO TRUYỀN THÔNG VÀ VĂN PHÒNG PHẨM QUANG HƯNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
477,0315851692,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỜI TRANG MAY MẶC THANH HÀ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
478,0315865462,CÔNG TY TNHH KỸ THUẬT CƠ KHÍ CHÍNH XÁC NGỌC DƯƠNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
479,0315875598,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI MỸ YẾN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
480,0315884426,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG SONG NGƯ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
481,0315886825,CÔNG TY TNHH THƯƠNG MẠI NHIÊN LIỆU VÀ VẬN TẢI NHẬT DIỆP,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
482,0315903573,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TEXACO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
483,0315908532,CÔNG TY TNHH KỸ THUẬT VẬN TẢI VĂN MỸ VIỆT NAM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
484,0315911510,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NHIÊN LIỆU TRÍ TÀI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
485,0315917199,CÔNG TY TNHH DƯỢC PHẨM VÀ VẬT TƯ Y TẾ NHƯ AN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
486,0315919598,CÔNG TY TNHH KINH DOANH VLXD NHÀ XINH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
487,0315939153,CÔNG TY TNHH TRUYỀN THÔNG QUỐC TẾ HOA KỲ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
488,0315944837,CÔNG TY TNHH NHÀ HÀNG KHÁCH SẠN QUÊ NHÀ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
489,0315950220,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VÀ NHIÊN LIỆU MIPECO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
490,0315963741,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN GỖ VIỆT PHÁP,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
491,0315964054,CÔNG TY TNHH XNK SẢN XUẤT VÀ CHẾ BIẾN LƯƠNG THỰC MINH TÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
492,0315966615,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT HÓA CHẤT VÀ BAO BÌ HƯNG THỊNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
493,0315969694,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DỆT MAY BÔNG SEN VÀNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
494,0315970869,CÔNG TY TNHH PHÁT TRIỂN THỜI TRANG P.I.C,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
495,0315973838,CÔNG TY TNHH CUNG ỨNG LAO ĐỘNG THÀNH LUÂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
496,0315976444,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ KINH DOANH VLXD VINH PHÁT VN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
497,0315985600,CÔNG TY TNHH THIẾT KẾ - XÂY DỰNG - TRANG TRÍ NỘI THẤT NHẤT TÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
498,0315999096,CÔNG TY TRÁCH NHIỆM HỮU HẠN PHÁT TRIỂN ĐỜI SỐNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
499,0316002116,CÔNG TY TNHH CƠ ĐIỆN LẠNH VÀ THIẾT BỊ MINH HẢI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
500,0316014841,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG BIỂN RỪNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
501,0316016239,CÔNG TY TNHH SẢN XUẤT NHỰA VÀ BAO BÌ QUỐC BÌNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
502,0316029742,CÔNG TY TNHH ĐẦU TƯ THIẾT KẾ VÀ XÂY DỰNG GIA THỊNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
503,0316034894,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG NĂM LỬA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
504,0316036852,CÔNG TY TNHH KHÁCH SẠN NHÀ HÀNG HỘI NGỘ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
505,0316043088,CÔNG TY TNHH XUẤT NHẬP KHẨU HỒNG LOAN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
506,0316057891,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI NHÀ HÀNG ẨM THỰC TRUNG HOA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
507,0316062210,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MAY MẶC MAI VÀNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
508,0316067000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PCCC VÀ BHLD PHƯƠNG ANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
509,0316141409,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG HOA SƠN QUÁN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
510,0316147915,CÔNG TY TNHH DỊCH VỤ ẨM THỰC VIỆT THỊNH PHÁT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
511,0316204345,CÔNG TY TNHH TRUYỀN THÔNG HỒNG HẠNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
512,0316218644,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI PHÚC HÒA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
513,0316361179,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ TANA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
514,0316373008,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ THÀNH PHÚC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
515,0316402900,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG ẨM THỰC VIỆT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
516,0316638504,CÔNG TY TNHH NHÀ HÀNG LẨU HAYU,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
517,0316649792,CÔNG TY TNHH KINH DOANH GIẤY PHÚC QUÂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
518,0316851783,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG CƠ SỞ HẠ TẦNG ALIFIN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
519,0316851896,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC NAM BỘ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
520,0316853910,CÔNG TY TNHH VẬN TẢI ĐƯỜNG BỘ SÀI GÒN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
521,0316854304,CÔNG TY TNHH TM DV XÂY DỰNG THANH TÚ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
522,0316855435,CÔNG TY TNHH KHÁCH SẠN NHÀ HÀNG HƯƠNG LÚA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
523,0316855467,CÔNG TY TNHH VLXD VÀ SAN LẤP HOÀI THANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
524,0316856090,CÔNG TY TNHH THIẾT KẾ ĐẦU TƯ XÂY DỰNG AN BẢO KHANG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
525,0316856975,CÔNG TY TNHH VLXD VÀ XÂY DỰNG HỒNG HÀ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
526,0316857094,CÔNG TY TNHH TM DV SẢN XUẤT HÓA CHẤT CÔNG NGHIỆP VIỆT MỸ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
527,0316858161,CÔNG TY TNHH VĂN PHÒNG PHẨM VÀ TIN HỌC THUẬN CƯỜNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
528,0316859239,CÔNG TY TNHH TM SX NHỰA VÀ IN ẤN BAO BÌ BẢO KHÔI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
529,0316859422,CÔNG TY TNHH TM DV ÔNG MẬP FOOD,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
530,0316859479,CÔNG TY TNHH TM DV NHÀ HÀNG HAI LÚA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
531,0316859951,CÔNG TY TNHH TM DV SẢN XUẤT GIẤY PHƯỢNG HOÀNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
532,0316860072,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VÀ CHẾ BIẾN GỖ NANOTEC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
533,0316860322,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG NGÔ NGHĨA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
534,0316860971,CÔNG TY TNHH TM DV VPP VÀ TIN HỌC HOÀI NAM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
535,0316861742,CÔNG TY TNHH SẢN XUẤT CHẾ BIẾN GỖ VÀ NỘI THẤT VĂN THƯƠNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
536,0316864091,CÔNG TY TNHH PHỤ TÙNG MÁY MÓC CƠ KHÍ LÊ HUY,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
537,0316864359,CÔNG TY TNHH TM DV SẢN XUẤT GỖ HOÀNG PHÚC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
538,0316866148,CÔNG TY TNHH XÂY DỰNG VẬN TẢI VĂN VŨ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
539,0316867286,CÔNG TY TNHH BÁN BUÔN PHỤ TÙNG VÀ SỬA CHỮA Ô TÔ TRỌNG SANG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
540,0316867381,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ KINH DOANH CÂY CẢNH TƯỜNG VI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
541,0316867712,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG AP MEDIA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
542,0316869741,CÔNG TY TNHH QUẢNG CÁO TRUYỀN THÔNG MOBA VIỆT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
543,0316871187,CÔNG TY TNHH CHẾ BIẾN LƯƠNG THỰC THỰC PHẨM THẢO NGUYÊN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
544,0316871451,CÔNG TY TNHH TM DV HUY HOÀNG KIM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
545,0316872504,CÔNG TY TNHH SẢN XUẤT CHẾ BIẾN THỰC PHẨM GREEN FOOD,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
546,031687251I,0,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
547,0316872864,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI KIM SAN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
548,0316872938,CÔNG TY TNHH VẬN CHUYỂN HÀNG HÓA ĐÔNG TÂY,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
549,0316873272,CÔNG TY TNHH VẬN TẢI VÀ KINH DOANH NHIÊN LIỆU SÀI GÒN MOBIL,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
550,0316875431,CÔNG TY TNHH XNK VÀ KINH DOANH NHIÊN LIỆU PACIFIC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
551,0316875664,CÔNG TY TNHH TM DV GIAO NHẬN VẬN TẢI TUẤN ANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
552,0316875985,CÔNG TY TNHH TM DV VẬN TẢI BẮC TRUNG NAM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
553,0316878055,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT MÁY MÓC VÀ CƠ KHÍ NGỌC ĐỨC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
554,0316878351,CÔNG TY TNHH TM DV THU UYỂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
555,0316894963,CÔNG TY TNHH KINH DOANH THIẾT BỊ VĂN PHÒNG PHẨM MẠNH KHÔI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
556,0316895413,CÔNG TY TNHH TM DV HÙNG THANH PHƯƠNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
557,0316898421,CÔNG TY TNHH TM DV VẬN TẢI DANKO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
558,0316943811,CÔNG TY TNHH XNK VÀ KINH DOANH SẮT THÉP XUYÊN Á,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
559,0316944117,CÔNG TY TNHH TMDV VẬN TẢI THANH TRÚC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
560,0316944660,CÔNG TY TNHH DỊCH VỤ VẬN TẢI PHƯƠNG BẢO AN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
561,0316944879,CÔNG TY TNHH VẬN TẢI VÀ NHIÊN LIỆU THANH TUYỀN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
562,0316945142,CÔNG TY TNHH VẬN TẢI ĐƯỜNG BỘ NGỌC HOÀI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
563,0317026367,CÔNG TY TNHH BÁN BUÔN MÁY MÓC THIẾT BỊ ĐỨC DUY,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
564,0317027138,CÔNG TY TNHH BÁN BUÔN VLXD VÀ TRANG TRÍ NỘI NGOẠI THẤT PHÚC LÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
565,0317028621,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VŨ TÂN PHÁT,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
566,0317028678,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG VÀ XÂY LẮP THƯƠNG MẠI BẢO LONG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
567,0317030268,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THÁI TẤN PHONG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
568,0317030282,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI ĐỨC BÌNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
569,0317030324,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI CHẤN PHONG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
570,0317030388,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG VÀ SAN LẤP MINH KHANG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
571,0317030412,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VŨ MINH ĐỨC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
572,0317031198,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN CHUYỂN MINH ANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
573,0317031222,CÔNG TY TNHH VẬN TẢI VÀ CƠ GIỚI QUỐC BẢO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
574,0317032522,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG VÀ XÂY LẮP ANH MINH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
575,0317032988,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG CƠ SỞ HẠ TẦNG QUANG KHẢI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
576,0317033237,CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ ANH DŨNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
577,0317033413,CÔNG TY TNHH THƯƠNG MẠI THIẾT KẾ XÂY DỰNG GIA HƯNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
578,0317047286,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VĨ KHÔI,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
579,0317048579,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KHÔI ĐĂNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
580,0317116733,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN GIẤY BĂNG TÂM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
581,0317116973,CÔNG TY TNHH BÁN BUÔN THIẾT BỊ VÀ ĐIỆN TỬ VIỄN THÔNG HẠNH NGÂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
582,0317117053,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI HÓA CHẤT ĐAN QUỲNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
583,0317117448,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VĂN PHÒNG PHẨM MẪN HOA,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
584,0317117568,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ CƠ KHÍ MÁY MÓC UY VŨ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
585,0317117776,CÔNG TY TNHH KỸ THUẬT CƠ KHÍ MÁY MÓC KIẾN VĂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
586,0317118106,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI PHẠM THIÊN ÂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
587,0317118184,CÔNG TY TNHH THIẾT BỊ ĐIỆN VÀ CHIẾU SÁNG AN HẠ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
588,0317118191,CÔNG TY TNHH XNK VÀ KINH DOANH NHIÊN LIỆU NIPPON OIL,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
589,0317118226,CÔNG TY TNHH KHAI THÁC VÀ CHẾ BIẾN GỖ KHÔI NGUYÊN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
590,0317118233,CÔNG TY TNHH NHÀ HÀNG ĂN UỐNG ĐỆ NHẤT BBQ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
591,0317118240,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ IN ẤN QUẢNG CÁO KIM DƯƠNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
592,0317118314,CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ HUY HOÀNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
593,0317119572,CÔNG TY TNHH KINH DOANH NHIÊN LIỆU MIPEC PETRO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
594,0317119607,CÔNG TY TNHH GIẢI TRÍ VÀ TRUYỀN THÔNG DIỆP NHƯ KHUÊ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
595,0317119646,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NHÀ HÀNG ẨM THỰC XANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
596,0317119808,CÔNG TY TNHH THƯƠNG MẠI HÓA CHẤT DIỆU TÚ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
597,0317120112,CÔNG TY TNHH THƯƠNG MẠI VÀ CHẾ BIẾN GỖ CHÍ THANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
598,0317120144,CÔNG TY TNHH KHAI THÁC VÀ CHẾ BIẾN GỖ THÁI SƠN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
